First_Name,Last_Name,Address,Email,DOB,Ethnicity,Education
Dortha,Yaccarino,6 Chestnut St,dortha@hotmail.com,2/23/1969,Native American,High School
Fernanda,Writer,620 Northampton St,fernanda@writer.co.uk,2/16/1983,Black,Master's
Nana,Wrinkles,6 Van Buren St,nana@aol.com,7/11/1980,Black,High School
Lorrine,Worlds,8 Fair Lawn Ave,lorrine.worlds@worlds.com,10/30/1989,Native American,High School
Lavonna,Wolny,5 Cabot Rd,lavonna.wolny@hotmail.com,6/6/1981,Black,Bachelor's
Irma,Wolfgramm,9745 W Main St,irma.wolfgramm@hotmail.com,8/31/1969,Asian,Bachelor's
Gertude,Witten,7 Tarrytown Rd,gertude.witten@gmail.com,7/16/1985,White,Master's
Emilio,Withers,597 Threlfall St #72,emilio_withers@yahoo.com,8/18/1999,Native American,Master's
Cassi,Wildfong,26849 Jefferson Hwy,cassi.wildfong@aol.com,2/17/1970,Asian,Bachelor's
Marisha,Wilcoxon,52 Trowbridge St,marisha.wilcoxon@gmail.com,1/23/1983,Asian,Master's
Melissa,Wiklund,61 13 Stoneridge #835,melissa@cox.net,12/19/1964,Unknown,Master's
Sage,Wieser,5 Boston Ave #88,sage_wieser@cox.net,3/10/1979,Black,Bachelor's
Chery,Wiederin,553 Picton Rd,cwiederin@yahoo.com,8/9/1965,Asian,High School
Paris,Wide,187 Market St,paris@hotmail.com,1/16/1978,White,Master's
Yuki,Whobrey,1 State Route 27,yuki_whobrey@aol.com,9/9/1991,Asian,Associate
Dominga,Whitrock,763 Roscoe St,dominga@whitrock.co.uk,6/21/1989,Black,Associate
Stevie,Westerbeck,26659 N 13th St,stevie.westerbeck@yahoo.com,11/16/1963,Black,Doctorate
Mozell,Westad,8 Gertrude St,mozell.westad@westad.co.uk,5/5/1999,Unknown,Doctorate
Dick,Wenzinger,22 Spruce St #595,dick@yahoo.com,2/15/1965,Unknown,Doctorate
Tonette,Wenner,4545 Courthouse Rd,twenner@aol.com,1/24/2002,Asian,Associate
Galen,Wendorf,8830 Antonio St,galen.wendorf@wendorf.co.uk,12/30/1984,Native American,Doctorate
Domitila,Weissmann,28 Berwick St,domitila@gmail.com,9/2/1981,Unknown,Master's
Reed,Weisinger,5147 Blackstone St,reed_weisinger@yahoo.com,2/13/1969,Black,High School
Daren,Weirather,9 N College Ave #3,dweirather@aol.com,1/19/1999,Native American,Doctorate
Penney,Weight,18 Fountain St,penney_weight@aol.com,10/20/1985,White,Master's
Lonny,Weglarz,51120 State Route 18,lonny_weglarz@gmail.com,12/22/1986,Black,High School
Stefania,Weatherwax,25 Dale St #2,sweatherwax@yahoo.com,3/22/1989,White,Doctorate
Norah,Waymire,6 Middlegate Rd #106,norah.waymire@gmail.com,2/27/1979,Unknown,High School
Kanisha,Waycott,5 Tomahawk Dr,kanisha_waycott@yahoo.com,9/18/1992,White,Doctorate
Mendy,Wassmann,3833 Sidney Rd,mendy.wassmann@wassmann.co.uk,12/30/1973,Native American,Master's
Dominic,Washmuth,8977 Old Leeds St #87,dwashmuth@hotmail.com,1/4/1963,Black,Bachelor's
Tammara,Wardrip,4800 Black Horse Pike,twardrip@cox.net,4/25/1970,Asian,Bachelor's
Hubert,Walthall,95 Main Ave #2,hubert@walthall.org,7/11/1973,Unknown,Bachelor's
Nikita,Walka,3612 Bixteth St,nwalka@hotmail.com,6/4/1975,White,Bachelor's
Kattie,Vonasek,2845 Boulder Crescent St,kattie@vonasek.org,2/21/1993,Native American,Master's
Francine,Vocelka,366 South Dr,francine_vocelka@vocelka.com,6/9/1997,Black,Master's
Lashon,Vizarro,433 Westminster Blvd #590,lashon@aol.com,12/11/1997,Native American,Master's
Stephaine,Vinning,3717 Hamann Industrial Pky,stephaine@cox.net,8/28/1975,Asian,Bachelor's
Val,Villot,1980 Tynemouth St,val@yahoo.com,10/15/1983,Black,Bachelor's
Josphine,Villanueva,63 Smith Ln #8343,josphine_villanueva@villanueva.com,6/30/1971,Black,Master's
Antonio,Villamarin,353 Standish St #8264,antonio.villamarin@gmail.com,1/11/1973,Unknown,Master's
Crista,Viengxay,1554 Christopher St,crista@yahoo.com,6/29/1969,White,Master's
Rashida,Vera,8451 Bengel St,rashida@hotmail.com,4/17/1975,Unknown,High School
Billy,Venus,61 Miriam St,billy.venus@yahoo.com,12/17/1966,Black,Doctorate
Ciara,Ventura,53 W Carey St,cventura@yahoo.com,6/17/1965,Black,High School
Eleonora,Ventry,758 Woodhouse St,eleonora@gmail.com,5/21/1987,Black,Associate
Tyisha,Veness,5396 Forth Street,tyisha.veness@hotmail.com,8/26/1993,Asian,Doctorate
Art,Venere,8 W Cerritos Ave #54,art@venere.org,12/15/1983,White,High School
Avery,Veit,9166 Devon St #905,avery@veit.co.uk,12/6/1975,Unknown,Associate
Tamesha,Veigel,2200 Nelson St #58,tveigel@veigel.co.uk,11/3/1966,Black,Associate
Claribel,Varriano,6 Harry L Dr #6327,claribel_varriano@cox.net,8/25/1993,Asian,Associate
Isidra,Varnado,79 Chelmsford St,ivarnado@varnado.co.uk,4/8/1964,White,Associate
Juan,Vanwyhe,5382 Redfern St,juan_vanwyhe@gmail.com,12/3/1972,Black,Master's
Eleni,Vanscoik,9 Mather St,eleni_vanscoik@gmail.com,3/19/1964,White,Associate
Reynalda,Vanhooser,891 Crocus St,reynalda@vanhooser.co.uk,11/1/1999,Black,Bachelor's
Carma,Vanheusen,68556 Central Hwy,carma@cox.net,6/30/2001,Black,Bachelor's
Jamal,Vanausdal,53075 Sw 152nd Ter #615,jamal@vanausdal.org,7/6/1969,Asian,High School
King,Vanacore,30 Seville St,king_vanacore@yahoo.com,5/1/1968,Asian,Doctorate
Sabra,Uyetake,98839 Hawthorne Blvd #6101,sabra@uyetake.org,7/16/1972,Native American,Associate
Raul,Upthegrove,4 E Colonial Dr,rupthegrove@yahoo.com,8/21/1989,Asian,Doctorate
Cathern,Ungar,823 Idris St,cathern.ungar@ungar.co.uk,8/7/1971,White,Associate
Juliana,Uken,4 Summer Seat Bootle,juliana.uken@yahoo.com,1/8/1983,Black,Associate
Tamesha,Tyburski,1054 Gladys St,tamesha.tyburski@gmail.com,9/29/2002,White,Associate
Kip,Turziano,37 Meadow St,kip.turziano@yahoo.com,12/9/1982,White,Doctorate
Kristeen,Turinetti,70099 E North Ave,kristeen@gmail.com,3/21/1994,Native American,Bachelor's
Ashley,Tropp,3 Greenleaf St #5644,ashley.tropp@gmail.com,7/9/1999,Native American,High School
Malcolm,Tromblay,747 Leonis Blvd,malcolm_tromblay@cox.net,4/24/1983,Asian,Bachelor's
Marlon,Tromblay,46 Stevenson St,mtromblay@yahoo.com,12/11/1962,Asian,Master's
Anglea,Tritten,8 Thomaston St,anglea_tritten@hotmail.com,2/15/1966,Black,Master's
Lucy,Treston,57254 Brickell Ave #372,lucy@cox.net,4/24/1981,Native American,Associate
Barrett,Toyama,4252 N Washington Ave #9,barrett.toyama@toyama.org,10/13/1963,White,High School
Vivienne,Torrain,45 Ledward St,vivienne@hotmail.com,11/18/1991,White,Associate
Mike,Torner,30 Aughton St,mike_torner@torner.co.uk,11/20/1966,Unknown,Associate
Launa,Torez,12 Gelling St,launa.torez@yahoo.com,8/16/2002,Asian,High School
Alverta,Topete,328 Havelock St #61,alverta.topete@gmail.com,7/4/1975,Unknown,High School
Aleshia,Tomkiewicz,14 Taylor St,atomkiewicz@hotmail.com,11/4/1992,Native American,High School
Merissa,Tomblin,34 Raritan Center Pky,merissa.tomblin@gmail.com,9/5/2002,Black,Bachelor's
Whitley,Tomasulo,2 S 15th St,whitley.tomasulo@aol.com,7/1/1969,Native American,Associate
Mitsue,Tollner,7 Eads St,mitsue_tollner@yahoo.com,9/24/1973,Native American,Bachelor's
Latrice,Tolfree,81 Norris Ave #525,latrice.tolfree@hotmail.com,1/3/1984,Black,Doctorate
Viva,Toelkes,4284 Dorigo Ln,viva.toelkes@gmail.com,6/25/1988,Black,Master's
Yvonne,Tjepkema,9 Waydell St,yvonne.tjepkema@hotmail.com,6/15/1984,Unknown,High School
Floyd,Tivis,770 Jamaica St,floyd_tivis@hotmail.com,3/20/1989,Asian,Doctorate
Whitney,Tishler,77 Mason St #650,whitney@gmail.com,10/4/1971,Asian,Doctorate
Altha,Tischner,650 Goring St,altha@hotmail.com,7/11/1987,Black,Doctorate
Loreta,Timenez,47857 Coney Island Ave,loreta.timenez@hotmail.com,4/20/1971,Black,Associate
Catalina,Tillotson,3338 A Lockport Pl #6,catalina@hotmail.com,7/18/1970,Native American,Associate
Hermila,Thyberg,1 Rancho Del Mar Shopping C,hermila_thyberg@hotmail.com,12/4/1983,Black,Master's
Brittani,Thurm,9 Horatio St,bthurm@yahoo.com,9/30/1995,Native American,Associate
Michell,Throssell,89 Noon St,mthrossell@throssell.co.uk,6/7/1970,Unknown,Master's
Leslie,Threets,2 A Kelley Dr,leslie@cox.net,4/6/1991,White,Associate
Kerry,Theodorov,6916 W Main St,kerry.theodorov@gmail.com,10/6/1974,Native American,High School
Martha,Teplica,148 Rembrandt St,mteplica@teplica.co.uk,10/27/1993,Asian,Associate
Patrick,Teisberg,2 Whitefield Rd,patrick@hotmail.com,1/17/1965,White,Doctorate
Virgina,Tegarden,755 Harbor Way,virgina_tegarden@tegarden.com,10/7/1979,Unknown,High School
Filiberto,Tawil,3882 W Congress St #799,ftawil@hotmail.com,1/9/1990,White,Master's
Svetlana,Tauras,8289 Cadogan St,svetlana_tauras@tauras.co.uk,12/18/1964,Native American,Associate
Marsha,Tarry,74 Medlock St,marsha.tarry@yahoo.com,11/2/1970,Native American,Doctorate
Erasmo,Talentino,3 Garden Lane,erasmo.talentino@hotmail.com,11/23/1966,Black,Master's
Annelle,Tagala,5 W 7th St,annelle@yahoo.com,10/4/1989,Native American,Doctorate
Gaston,Szumski,8 Gullett St,gaston.szumski@hotmail.com,5/3/1986,Unknown,Master's
Melita,Szpak,1 Sussex St,melita.szpak@szpak.co.uk,4/1/1980,Unknown,Associate
Ernest,Syrop,94 Chase Rd,ernest@cox.net,2/8/1979,White,High School
Eulah,Syrop,62 Euston St,eulah@syrop.co.uk,9/6/1984,White,Bachelor's
Carmen,Sweigard,61304 N French Rd,csweigard@sweigard.com,3/19/2001,White,Bachelor's
Tresa,Sweely,22 Bridle Ln,tresa_sweely@hotmail.com,8/31/1962,Unknown,High School
Quentin,Swayze,278 Bayview Ave,quentin_swayze@yahoo.com,2/13/1963,Unknown,High School
Dacia,Swaisgood,36 Cranmer St #4697,dacia.swaisgood@swaisgood.co.uk,7/28/1964,Unknown,High School
Lino,Sutulovich,55 Margaret Rd,lino.sutulovich@gmail.com,8/16/1973,White,Master's
Lamar,Suite,6301 Dorset Rd,lsuite@yahoo.com,9/11/1976,Asian,Bachelor's
Vashti,Sugai,4 Candia St #6,vashti@gmail.com,11/5/1968,Black,High School
Gwenn,Suffield,3270 Dequindre Rd,gwenn_suffield@suffield.org,10/26/1989,Unknown,Master's
Caprice,Suell,90177 N 55th Ave,caprice@aol.com,1/1/1992,Native American,Associate
Peggie,Sturiale,9 N 14th St,peggie@cox.net,7/13/1965,Unknown,Associate
Lashawnda,Stuer,7422 Martin Ave #8,lstuer@cox.net,9/18/1986,White,High School
Lisandra,Stueber,5 Bentinck St,lisandra_stueber@hotmail.com,4/28/2002,Native American,Bachelor's
Lovetta,Study,1 Jervis St,lovetta@study.co.uk,3/26/1988,Asian,Doctorate
Eliz,Strimple,82 Denison St #2642,eliz@gmail.com,2/11/2002,Native American,Associate
Edward,Strejan,1267 Audley St,edward_strejan@gmail.com,7/29/1985,Black,Doctorate
Belen,Strassner,5384 Southwyck Blvd,belen_strassner@aol.com,9/22/1994,Unknown,Bachelor's
Keneth,Stpierrie,2 Seacombe St,keneth_stpierrie@hotmail.com,3/29/1961,Asian,Master's
Cordelia,Storment,393 Hammond Dr,cordelia_storment@aol.com,4/12/1972,White,Associate
Junita,Stoltzman,94 W Dodge Rd,junita@aol.com,11/28/1976,Unknown,Bachelor's
Jose,Stockham,128 Bransten Rd,jose@yahoo.com,9/9/1971,Native American,Associate
Portia,Stimmel,3732 Sherman Ave,portia.stimmel@aol.com,12/13/1972,Black,Doctorate
Stevie,Stifflemire,9 Gradwell St,stevie_stifflemire@stifflemire.co.uk,3/17/1970,Unknown,Doctorate
Jacki,Sterback,15 East Albert Rd,jacki.sterback@gmail.com,6/5/1969,Native American,Bachelor's
Ernie,Stenseth,45 E Liberty St,ernie_stenseth@aol.com,6/4/1967,Native American,Bachelor's
Lizette,Stem,501 N 19th Ave,lizette.stem@aol.com,3/14/1962,Unknown,Doctorate
Janet,Steimer,8899 Mere Lane,janet_steimer@hotmail.com,3/3/1997,Asian,Bachelor's
Avery,Steier,93 Redmond Rd #492,avery@cox.net,9/27/1980,Unknown,Master's
Tiffiny,Steffensmeier,32860 Sierra Rd,tiffiny_steffensmeier@cox.net,3/14/1961,Native American,Master's
Graham,Stanwick,73 Hawkstone St,gstanwick@gmail.com,6/22/2001,Asian,High School
Huey,Stancil,275 Peel Sq,hstancil@hotmail.com,8/9/1969,Native American,Doctorate
Rosalind,Stamps,8 Chestnut St,rosalind.stamps@stamps.co.uk,3/9/1962,Asian,Doctorate
Leana,Stackpole,690 Copenhagen Rd,lstackpole@yahoo.com,10/29/1994,Unknown,High School
Martina,Staback,7 W Wabansia Ave #227,martina_staback@staback.com,2/6/1993,Black,Doctorate
Layla,Springe,229 N Forty Driv,layla.springe@cox.net,7/31/1978,Unknown,Doctorate
Charisse,Spinello,9165 Primrose St,charisse_spinello@spinello.co.uk,9/8/1963,Unknown,Doctorate
Rolande,Spickerman,65 W Maple Ave,rolande.spickerman@spickerman.com,3/3/1961,Asian,Master's
Vernice,Sperazza,8921 Forge St,vernice@yahoo.com,7/19/1977,Unknown,Doctorate
Zita,Speltz,2395 Gloucester Pl,zita_speltz@yahoo.com,7/14/1997,Asian,Bachelor's
Wade,Sovel,2546 Hunter St,wade@hotmail.com,2/2/1972,Native American,Master's
Cherelle,Sorrel,794 Hook St,cherelle_sorrel@gmail.com,1/18/1972,Asian,Doctorate
Goldie,Sonkens,6174 Botanic Pl,gsonkens@sonkens.co.uk,5/19/1995,Asian,Bachelor's
Ty,Smith,4646 Kaahumanu St,tsmith@aol.com,2/10/1967,Unknown,Associate
Louann,Smethers,3055 Creswick St,louann@gmail.com,10/31/1965,White,Associate
Mari,Smeby,4309 Chisenhale St,msmeby@gmail.com,2/13/1973,Native American,Bachelor's
Lanie,Smarsh,555 Ludlow St,lanie@yahoo.com,12/28/1965,Native American,Master's
Lanie,Smalarz,5149 Maria Rd,lanie.smalarz@yahoo.com,6/24/1999,Native American,Master's
Alisha,Slusarski,3273 State St,alisha@slusarski.com,1/22/1962,Asian,Associate
Melissia,Slotemaker,83 St Johns Lane #43,mslotemaker@gmail.com,7/25/1964,Black,Doctorate
Glenna,Slayton,2759 Livingston Ave,glenna_slayton@cox.net,7/20/1993,White,High School
Benton,Skursky,47939 Porter Ave,benton.skursky@aol.com,5/23/1995,Asian,Bachelor's
Hillary,Skulski,9 Wales Rd Ne #914,hillary.skulski@aol.com,1/13/1984,Unknown,Bachelor's
Olene,Skubis,180 Frodsham St,olene_skubis@yahoo.com,12/27/1967,Unknown,Bachelor's
Tess,Sitra,61 Rossett St,tess_sitra@hotmail.com,10/10/1986,Native American,Master's
Maryanne,Siske,256 Vesuvius St #159,maryanne@hotmail.com,5/27/1962,Unknown,High School
Gail,Similton,62 Monroe St,gail_similton@similton.com,5/3/1986,White,Bachelor's
Beckie,Silvestrini,7116 Western Ave,beckie.silvestrini@silvestrini.com,11/12/1961,Unknown,Bachelor's
Santos,Signore,4706 Chapel Place #5993,santos@gmail.com,2/20/1979,Black,Master's
Anisha,Shulick,3 Alder St,ashulick@yahoo.com,1/10/1987,Native American,Doctorate
Francisca,Shuhi,7 Carolina St,fshuhi@shuhi.co.uk,11/9/1978,Black,Master's
Marylyn,Shonerd,7252 Dansie St,marylyn_shonerd@yahoo.com,4/17/1970,Native American,Associate
Van,Shire,90131 J St,van.shire@shire.com,12/22/1971,White,Associate
Therese,Shiraki,18 Ouse St,tshiraki@gmail.com,5/27/1983,Unknown,Associate
Solange,Shinko,426 Wolf St,solange@shinko.com,9/22/1987,Native American,Doctorate
Jesusa,Shin,2239 Shawnee Mission Pky,jshin@shin.com,5/7/1961,White,Associate
Tyra,Shields,3 Fort Worth Ave,tshields@gmail.com,1/22/1964,Native American,Doctorate
Christoper,Sheneman,845 Atherton St,christoper@gmail.com,3/13/1976,White,Bachelor's
Ozell,Shealy,8 Industry Ln,oshealy@hotmail.com,11/28/1962,Black,High School
Shalon,Shadrick,61047 Mayfield Ave,shalon@cox.net,12/9/1983,White,High School
Maia,Shadd,8 Bigham Rd,maia_shadd@gmail.com,4/24/1990,Native American,Doctorate
Ceola,Setter,96263 Greenwood Pl,ceola.setter@setter.org,9/7/1990,Unknown,Associate
Melvin,Setter,87 Pickup St,melvin_setter@setter.co.uk,4/19/1981,Native American,High School
Alishia,Sergi,2742 Distribution Way,asergi@gmail.com,8/13/1998,Asian,Master's
Elke,Sengbusch,9 W Central Ave,elke_sengbusch@yahoo.com,9/4/1981,Unknown,High School
Sunshine,Senechal,40 Cairo St,sunshine.senechal@hotmail.com,2/8/1981,Asian,High School
Isaac,Semrad,76 Dawber St #6,isaac.semrad@semrad.co.uk,11/24/1989,Asian,Bachelor's
Kasandra,Semidey,369 Latham St #500,kasandra_semidey@semidey.com,5/9/1972,White,Bachelor's
Leigha,Semenza,784 Juno St #7653,lsemenza@yahoo.com,12/6/1988,Native American,Associate
Billy,Selma,338 Alfonso Rd,billy.selma@yahoo.com,9/29/1992,Native American,Master's
Shenika,Seewald,4 Otis St,shenika@gmail.com,9/21/1970,Unknown,Master's
Pilar,Seelig,4 Ogwen St,pilar@yahoo.com,5/3/1965,Asian,Doctorate
Walker,Seeger,69 Chantrey St #90,walker.seeger@yahoo.com,7/16/1970,Native American,High School
Merilyn,Scurci,4041 Virgil St,merilyn_scurci@hotmail.com,11/20/2001,Asian,High School
Lilli,Scriven,33 State St,lilli@aol.com,12/16/1969,Asian,Master's
Mitsue,Scipione,77 222 Dr,mscipione@scipione.com,5/27/1975,Asian,Doctorate
Sean,Schurman,2877 Grain St,sean.schurman@schurman.co.uk,5/13/1981,Black,High School
Dalene,Schoeneck,910 Rahway Ave,dalene@schoeneck.org,4/4/1961,Native American,Associate
Gayla,Schnitzler,38 Pleasant Hill Rd,gschnitzler@gmail.com,2/8/1989,Black,High School
Pamella,Schmierer,5161 Dorsett Rd,pamella.schmierer@schmierer.org,4/13/2002,Black,Doctorate
Staci,Schmaltz,18 Coronado Ave #563,staci_schmaltz@aol.com,12/10/1963,Black,Doctorate
Tiara,Schlichter,805 Westbank Rd,tiara_schlichter@schlichter.co.uk,2/26/1985,White,Doctorate
Krystina,Schlabaugh,7316 Friar St,kschlabaugh@schlabaugh.co.uk,3/20/1981,Native American,Master's
Goldie,Schirpke,34 Saint George Ave #2,goldie.schirpke@yahoo.com,6/1/1984,White,Bachelor's
Glory,Schieler,5 E Truman Rd,glory@yahoo.com,10/9/1964,Black,High School
Andra,Scheyer,9 Church St,andra@gmail.com,7/31/1976,White,Associate
Youlanda,Schemmer,2881 Lewis Rd,youlanda@aol.com,8/20/1994,Black,Doctorate
Vicky,Schellenberge,3922 Leda St,vschellenberge@hotmail.com,12/21/1991,Asian,High School
Adelle,Schantini,162 Grayson St,adelle_schantini@yahoo.com,3/15/1982,Black,High School
Rodolfo,Scavuzzo,5 Ruskin St,rodolfo_scavuzzo@yahoo.com,8/25/1992,White,Associate
Quiana,Scarsella,1400 Ash St,quiana_scarsella@hotmail.com,8/9/1969,Black,Master's
Berry,Scandalis,4 Vivian St,berry.scandalis@gmail.com,9/2/1992,Native American,Associate
Emiko,Sayre,8 Village St,emiko.sayre@yahoo.com,8/30/1988,White,Associate
Fatima,Saylors,2 Lighthouse Ave,fsaylors@saylors.org,7/23/1966,Black,Associate
Rasheeda,Sayaphon,251 Park Ave #979,rasheeda@aol.com,1/23/1962,White,Master's
Nelida,Sawchuk,3 State Route 35 S,nelida@gmail.com,1/15/1961,Black,High School
Milly,Savidge,129 Alexander Pope St,milly@gmail.com,12/9/1975,Asian,High School
Eladia,Saulter,3958 S Dupont Hwy #7,eladia@saulter.com,4/3/2000,Unknown,Associate
Noel,Sarra,2 Cockburn St,nsarra@gmail.com,1/28/1975,Native American,Master's
Glendora,Sarbacher,2140 Diamond Blvd,gsarbacher@gmail.com,2/17/1970,Asian,Associate
Sherita,Saras,8 Us Highway 22,sherita.saras@cox.net,7/2/1963,Native American,High School
Hoa,Sarao,27846 Lafayette Ave,hoa@sarao.org,5/1/2000,Asian,High School
Domonique,Sandlin,95 Denton St,domonique@hotmail.com,4/24/1961,White,Master's
Bonita,Sandblom,22 Kilshaw St,bsandblom@gmail.com,12/10/1974,Native American,Master's
Estrella,Samu,64 Lakeview Ave,estrella@aol.com,9/17/1964,Unknown,Bachelor's
Cristal,Samara,4119 Metropolitan Dr,cristal@cox.net,11/8/1961,Native American,High School
Benedict,Sama,4923 Carey Ave,bsama@cox.net,11/5/1977,Black,Master's
Octavio,Salvadore,6949 Bourne St,octavio.salvadore@yahoo.com,7/4/1995,White,Doctorate
Kina,Saltman,29 Oregon St,kina_saltman@gmail.com,1/30/1973,Native American,Associate
Justine,Salta,85 Bridgewater St,justine_salta@yahoo.com,3/17/1993,Native American,High School
Julie,Sakshaug,5 Shakspeare St #66,julie@gmail.com,7/18/1988,Asian,Doctorate
Royce,Saik,2 Maple Grove,royce@hotmail.com,8/8/1984,White,Doctorate
Paz,Sahagun,919 Wall Blvd,paz_sahagun@cox.net,5/22/1974,White,Doctorate
Sylvie,Ryser,649 Tulane Ave,sylvie@aol.com,6/5/1961,White,Master's
Graciela,Ruta,98 Connecticut Ave Nw,gruta@cox.net,2/15/1963,White,Doctorate
Royal,Rush,1 Argyle St,royal.rush@yahoo.com,7/22/1965,Black,Bachelor's
Kati,Rulapaugh,6980 Dorsett Rd,kati.rulapaugh@hotmail.com,1/27/1996,White,Master's
Rebbecca,Rufenacht,4190 Seacombe St,rrufenacht@yahoo.com,11/2/1961,Unknown,Bachelor's
Rebbeca,Rubinstein,4 Sherwood St,rebbeca_rubinstein@hotmail.com,2/27/1961,Black,Bachelor's
Wendell,Rubano,1 Back Canning St,wendell_rubano@hotmail.com,9/25/1970,Black,Doctorate
Maryann,Royster,74 S Westgate St,mroyster@royster.com,2/7/1973,Unknown,Master's
Jacqueline,Rowling,1 N San Saba,jacqueline.rowling@yahoo.com,4/25/1986,Native American,Doctorate
Linwood,Rosenlof,3 Pyramid St,linwood.rosenlof@yahoo.com,6/17/1991,Native American,High School
Margery,Rohrs,40 Peters Lane,margery@hotmail.com,7/1/1994,Native American,High School
Giuseppe,Rohaley,62 Margaret St,giuseppe@yahoo.com,12/14/1995,White,Associate
Nakita,Rodrigues,4 Northbrook St #600,nakita_rodrigues@gmail.com,9/2/2001,Asian,High School
Helene,Rodenberger,347 Chestnut St,helene@aol.com,10/1/1991,Native American,Bachelor's
Terrilyn,Rodeigues,3718 S Main St,terrilyn.rodeigues@cox.net,3/18/1991,Black,Master's
Bernardine,Rodefer,2 W Grand Ave,bernardine_rodefer@yahoo.com,2/27/1977,White,Doctorate
Shaunna,Rodamis,5 Gainsborough Rd,shaunna.rodamis@yahoo.com,1/10/1990,Native American,Doctorate
Xuan,Rochin,2 Monroe St,xuan@gmail.com,7/31/1968,Asian,Doctorate
Tu,Rivet,31 Buckingham Ave #3785,tu_rivet@gmail.com,8/21/1966,Asian,Bachelor's
Emogene,Ritthaler,1257 Stone St,emogene.ritthaler@yahoo.com,4/28/1971,White,Doctorate
Talia,Riopelle,1 N Harlem Ave #9,talia_riopelle@aol.com,6/6/1985,Unknown,High School
Elmira,Ringlein,143 Clark St #802,eringlein@gmail.com,3/17/1967,Native American,High School
Gladys,Rim,322 New Horizon Blvd,gladys.rim@rim.org,8/16/1978,Unknown,Doctorate
Meghan,Riherd,83 Denbigh St Bootle,meghan@riherd.co.uk,4/4/1997,Asian,Bachelor's
Salley,Rieger,1 Segrave St,salley.rieger@gmail.com,3/24/1977,Native American,Bachelor's
Dalene,Riden,66552 Malone Rd,dalene.riden@aol.com,3/29/1985,Unknown,Master's
Mi,Richan,6 Norwood Grove,mi@hotmail.com,1/27/1978,Asian,Doctorate
Micaela,Rhymes,20932 Hedley St,micaela_rhymes@gmail.com,12/27/2000,Black,High School
Bobbye,Rhym,30 W 80th St #1995,brhym@rhym.com,2/26/1997,Unknown,High School
Janine,Rhoden,92 Broadway,jrhoden@yahoo.com,5/26/1970,White,Master's
Erasmo,Rhea,5544 Sutherland St,erasmo_rhea@hotmail.com,3/22/1995,Asian,Doctorate
Theodora,Restrepo,42744 Hamann Industrial Pky #82,theodora.restrepo@restrepo.com,8/3/1992,Unknown,Master's
Leanora,Respicio,99 College St South #1,lrespicio@respicio.co.uk,1/14/1984,Native American,Associate
Vi,Rentfro,7163 W Clark Rd,vrentfro@cox.net,9/18/1979,Unknown,Master's
Tomoko,Renno,5160 High St #38,tomoko@renno.co.uk,3/13/1977,Black,Doctorate
Patti,Rempel,1346 Vandyke St,patti@rempel.co.uk,10/20/1997,Asian,High School
Laurel,Reitler,6 Kains Ave,laurel_reitler@reitler.com,11/19/1996,Asian,Doctorate
Celia,Reisling,8362 Whithorn St,celia.reisling@hotmail.com,10/11/1970,Asian,High School
Joana,Reinecke,2427 Olney St #7,jreinecke@reinecke.co.uk,9/15/1987,Unknown,Doctorate
Jacquelyne,Reibman,70 Lilly Rd,jacquelyne_reibman@yahoo.com,12/4/1972,Native American,Associate
Ligia,Reiber,206 Main St #2804,lreiber@cox.net,7/27/1990,Unknown,Doctorate
